Iteration	Ident	Success
1	p_explore	False
2	p_return_energy	False
3	p_return_energy	True
4	p_return_energy	True
5	p_return_energy	True
6	p_return_energy	False
7	p_search_energy	False
8	p_search_energy	False
9	p_search_energy	False
10	p_search_energy	False
11	p_search_energy	False
12	p_search_energy	False
13	p_search_energy	False
14	p_search_energy	False
15	p_search_energy	False
16	p_search_energy	False
17	p_search_energy	False
18	p_search_energy	False
19	p_search_energy	False
20	p_search_energy	False
21	p_search_energy	False
22	p_search_energy	False
23	p_search_energy	False
24	p_search_energy	False
25	p_search_energy	False
