Iteration	World	Goal reward list	Policy	Sensorial changes	C-nodes
1	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
2	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
3	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
4	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
5	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
6	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
7	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
8	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
9	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
10	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '1.0', 'safe_operation_goal': '0.0'}	return_to_energy	False	0
